"Date","Price","Open","High","Low","Change %"
"Mar 07, 2021","1.1952","1.1917","1.1990","1.1836","0.29%"
"Feb 28, 2021","1.1917","1.2079","1.2113","1.1894","-1.30%"
"Feb 21, 2021","1.2074","1.2117","1.2243","1.2062","-0.35%"
"Feb 14, 2021","1.2117","1.2123","1.2170","1.2023","-0.01%"
"Feb 07, 2021","1.2118","1.2042","1.2150","1.2019","0.63%"
"Jan 31, 2021","1.2042","1.2140","1.2146","1.1952","-0.77%"
"Jan 24, 2021","1.2136","1.2168","1.2184","1.2057","-0.25%"
"Jan 17, 2021","1.2167","1.2085","1.2191","1.2054","0.74%"
"Jan 10, 2021","1.2078","1.2217","1.2227","1.2074","-1.15%"
"Jan 03, 2021","1.2218","1.2231","1.2350","1.2191","0.05%"
"Dec 27, 2020","1.2212","1.2202","1.2311","1.2181","0.07%"
"Dec 20, 2020","1.2204","1.2242","1.2257","1.2129","-0.42%"
"Dec 13, 2020","1.2255","1.2131","1.2274","1.2115","1.19%"
"Dec 06, 2020","1.2111","1.2128","1.2167","1.2059","-0.07%"
"Nov 29, 2020","1.2120","1.1957","1.2178","1.1924","1.32%"
"Nov 22, 2020","1.1962","1.1853","1.1965","1.1800","0.92%"
"Nov 15, 2020","1.1853","1.1829","1.1895","1.1813","0.18%"
"Nov 08, 2020","1.1832","1.1882","1.1920","1.1745","-0.34%"
"Nov 01, 2020","1.1872","1.1658","1.1891","1.1603","1.93%"
"Oct 25, 2020","1.1647","1.1858","1.1861","1.1639","-1.79%"
"Oct 18, 2020","1.1859","1.1722","1.1882","1.1703","1.20%"
"Oct 11, 2020","1.1718","1.1819","1.1827","1.1688","-0.90%"
"Oct 04, 2020","1.1824","1.1716","1.1832","1.1707","0.95%"
"Sep 27, 2020","1.1713","1.1638","1.1770","1.1615","0.71%"
"Sep 20, 2020","1.1630","1.1848","1.1873","1.1612","-1.75%"
"Sep 13, 2020","1.1837","1.1840","1.1901","1.1737","-0.07%"
"Sep 06, 2020","1.1845","1.1833","1.1918","1.1753","0.06%"
"Aug 30, 2020","1.1838","1.1899","1.2012","1.1781","-0.55%"
"Aug 23, 2020","1.1903","1.1787","1.1920","1.1762","0.92%"
"Aug 16, 2020","1.1795","1.1840","1.1967","1.1754","-0.39%"
"Aug 09, 2020","1.1841","1.1788","1.1865","1.1710","0.47%"
"Aug 02, 2020","1.1786","1.1783","1.1917","1.1696","0.10%"
"Jul 26, 2020","1.1774","1.1646","1.1910","1.1637","1.01%"
"Jul 19, 2020","1.1656","1.1410","1.1659","1.1401","2.00%"
"Jul 12, 2020","1.1428","1.1300","1.1452","1.1297","1.13%"
"Jul 05, 2020","1.1300","1.1242","1.1372","1.1240","0.45%"
"Jun 28, 2020","1.1249","1.1227","1.1303","1.1185","0.27%"
"Jun 21, 2020","1.1219","1.1185","1.1350","1.1168","0.38%"
"Jun 14, 2020","1.1177","1.1245","1.1353","1.1168","-0.70%"
